Gene	sgRNA	Vehicle|beta	Vehicle|z	Vehicle|p-value	Vehicle|fdr	Vehicle|wald-p-value	Vehicle|wald-fdr	APR|beta	APR|z	APR|p-value	APR|fdr	APR|wald-p-value	APR|wald-fdr
ARMC8	4	0.32383	1.6399	0.071052	0.55969	0.10102	0.95209	0.23048	1.1658	0.30609	0.89088	0.2437	0.76466
KRTAP19-7	4	0.12386	1.6968	0.49776	0.9481	0.089738	0.95209	0.044191	0.60469	0.88126	0.99623	0.54539	0.84898
C10orf90	4	0.087546	0.46211	0.63574	0.97084	0.644	0.95646	-0.2297	-1.1988	0.3223	0.90085	0.23062	0.76342
SPATA6L	4	-0.1793	-1.2417	0.3834	0.92403	0.21433	0.95209	-0.29195	-2.0202	0.2229	0.82911	0.043361	0.75718
C7orf73	4	0.12892	0.60082	0.48235	0.94713	0.54796	0.953	0.16008	0.74584	0.49115	0.95074	0.45577	0.82137
WNT3A	4	-0.09363	-0.66061	0.63475	0.97028	0.50886	0.95281	-0.29784	-2.0961	0.21465	0.81839	0.036076	0.75718
FAM122C	4	-0.11969	-0.82628	0.55052	0.95895	0.40864	0.95209	-0.0095236	-0.065748	0.9289	0.9983	0.94758	0.98532
ZNF846	4	0.20081	1.1618	0.26705	0.86629	0.24532	0.95209	-0.14377	-0.83141	0.50701	0.95795	0.40574	0.80876
MARK4	4	0.25792	0.52232	0.15394	0.76644	0.60145	0.953	0.57909	1.1746	0.0090493	0.17268	0.24015	0.76359
DTHD1	4	0.32577	1.7929	0.069759	0.55604	0.072987	0.95209	0.11719	0.64394	0.62306	0.97272	0.51962	0.84004
TMEM131	4	-0.13652	-0.60364	0.49587	0.94779	0.54608	0.953	-0.2429	-1.0721	0.29783	0.88415	0.28367	0.77045
TECPR2	4	0.042913	0.57023	0.81812	0.99079	0.56852	0.953	-0.033676	-0.44745	0.84566	0.99515	0.65455	0.8867
controlguide673	1	0.15334	0.27217	0.67522	0.97546	0.78549	0.97272	0.43476	0.77166	0.28371	0.87414	0.44032	0.81788
DAOA	4	-0.10252	-0.96773	0.60347	0.966	0.33318	0.95209	-0.11796	-1.1131	0.57732	0.96743	0.26566	0.76828
GCM2	4	0.29987	0.9936	0.093526	0.63271	0.32042	0.95209	0.42134	1.397	0.055241	0.49776	0.16242	0.75718
FAM170A	4	0.21642	1.016	0.2316	0.83988	0.30965	0.95209	0.355	1.6666	0.10949	0.67051	0.095601	0.75718
C2orf76	4	0.079643	0.39533	0.66965	0.97443	0.6926	0.96074	-0.16124	-0.79913	0.46505	0.94552	0.42421	0.81407
ARRDC2	4	0.12794	0.55531	0.48583	0.94713	0.57868	0.953	0.35213	1.5288	0.11227	0.67581	0.12631	0.75718
EIF2AK1	4	0.23209	1.0294	0.19923	0.809	0.30331	0.95209	0.048314	0.21319	0.86744	0.99571	0.83118	0.94857
ARTN	4	-0.067695	-0.54658	0.73205	0.98289	0.58466	0.953	0.089608	0.72384	0.71892	0.98372	0.46916	0.8254
PIP4K2B	4	0.42866	1.0636	0.018894	0.26969	0.2875	0.95209	0.54542	1.3541	0.013872	0.23154	0.1757	0.75718
CNPY1	4	0.26603	1.5808	0.13902	0.73676	0.11393	0.95209	0.24831	1.4755	0.26725	0.86666	0.14008	0.75718
MAK	4	0.032334	0.1542	0.86187	0.99121	0.87745	0.98277	0.19518	0.93197	0.3923	0.92595	0.35135	0.79589
AGMAT	4	-0.1605	-1.0514	0.43054	0.93577	0.29306	0.95209	0.020636	0.13538	0.96321	0.99892	0.89231	0.9697
controlguide709	1	0.34722	0.7439	0.31344	0.88851	0.45693	0.95209	0.20179	0.43233	0.64021	0.97708	0.6655	0.89007
CCDC85B	4	0.23814	1.6019	0.1879	0.80136	0.10918	0.95209	0.026147	0.17527	0.94292	0.99892	0.86086	0.95783
ARC	4	-0.08909	-0.98437	0.6514	0.97318	0.32493	0.95209	-0.1828	-2.0197	0.41562	0.93422	0.043412	0.75718
NXNL1	4	-0.32659	-1.1991	0.14613	0.75134	0.23048	0.95209	-0.021795	-0.080349	0.88663	0.99665	0.93596	0.98052
controlguide771	1	0.27724	0.37927	0.42069	0.93296	0.70449	0.96138	0.51036	0.69818	0.21142	0.81425	0.48506	0.8286
OAT	4	0.10054	0.64057	0.58453	0.96511	0.5218	0.953	0.25108	1.6	0.26139	0.86096	0.1096	0.75718
AP3B2	4	0.075619	0.35762	0.68641	0.97785	0.72062	0.96474	-0.047012	-0.22211	0.80206	0.99118	0.82423	0.94536
JAG2	4	0.17428	0.70564	0.33816	0.9074	0.48041	0.95209	0.30281	1.2267	0.17219	0.76253	0.21993	0.76209
IFT46	4	-0.13654	-0.50504	0.49582	0.94779	0.61353	0.95388	0.12678	0.46993	0.59149	0.96984	0.63841	0.88087
TNS3	4	0.074966	0.38343	0.68859	0.97799	0.7014	0.96074	0.090964	0.46517	0.71529	0.98372	0.64181	0.88194
NUDT5	4	0.12937	0.87095	0.48046	0.94713	0.38378	0.95209	0.29308	1.9734	0.18601	0.78294	0.048455	0.75718
PPM1G	4	0.11525	0.46893	0.52854	0.95619	0.63912	0.95482	0.43833	1.7882	0.046887	0.45866	0.073742	0.75718
ZBTB16	4	0.11392	1.0481	0.53441	0.95726	0.29459	0.95209	0.16613	1.5285	0.4728	0.94736	0.1264	0.75718
MDC1	4	-0.14918	-1.1596	0.46122	0.94406	0.24623	0.95209	0.13426	1.0481	0.56852	0.96432	0.29458	0.77218
CLDN10	4	0.10546	0.7813	0.56618	0.96113	0.43463	0.95209	0.091434	0.6772	0.7137	0.98372	0.49828	0.83338
SPAG17	4	0.21181	0.85685	0.24224	0.84916	0.39153	0.95209	0.25202	1.0195	0.2597	0.86029	0.30798	0.77667
controlguide742	1	-0.1735	-1.0767	0.64991	0.97269	0.2816	0.95209	-0.033994	-0.21096	0.93412	0.9983	0.83292	0.94897
SSX2IP	4	0.10034	0.60415	0.58562	0.96518	0.54574	0.953	0.19039	1.1466	0.40598	0.93142	0.25155	0.76583
CCDC182	4	0.052317	0.25166	0.77755	0.98825	0.80131	0.97457	-0.073505	-0.35328	0.7137	0.98372	0.72388	0.91397
CORO7	4	0.13797	1.54	0.45097	0.94068	0.12357	0.95209	0.023428	0.26147	0.95232	0.99892	0.79373	0.93586
PEX2	4	0.038315	0.22868	0.83786	0.99121	0.81912	0.97863	-0.20264	-1.2082	0.37381	0.91949	0.22698	0.76342
RELB	4	0.27227	0.99812	0.12943	0.71787	0.31822	0.95209	0.19882	0.72883	0.38256	0.92298	0.46611	0.82429
CYP11A1	4	0.31326	1.7016	0.080996	0.59496	0.088824	0.95209	0.19425	1.0545	0.39504	0.92707	0.29165	0.7715
C9orf92	4	0.26615	1.0191	0.13877	0.73583	0.30814	0.95209	0.15572	0.59518	0.50487	0.95757	0.55172	0.8516
ASB7	4	0.13924	1.0453	0.44546	0.93655	0.29589	0.95209	0.26512	1.9908	0.23449	0.83938	0.046498	0.75718
SLC25A33	4	-0.038272	-0.17685	0.84507	0.99121	0.85963	0.98247	0.31599	1.4631	0.1521	0.7336	0.14343	0.75718
MAGI3	4	0.030146	0.14895	0.87182	0.99121	0.8816	0.98287	0.079797	0.39427	0.75323	0.98514	0.69338	0.90157
SYT17	4	-0.25543	-1.8257	0.23662	0.84307	0.067895	0.95209	-0.11165	-0.79815	0.59646	0.97033	0.42478	0.81407
SPANXN4	4	0.13111	0.78167	0.474	0.94602	0.43441	0.95209	0.18242	1.0876	0.42726	0.93573	0.27676	0.76981
STXBP2	4	-0.15525	-1.5786	0.44456	0.93594	0.11444	0.95209	-0.0075846	-0.077124	0.93496	0.99831	0.93852	0.98166
PGLYRP2	4	0.10084	0.50058	0.58328	0.96482	0.61666	0.95392	0.22114	1.0982	0.32692	0.90175	0.2721	0.76828
TRIM74	4	-0.14199	-0.89242	0.48066	0.94713	0.37217	0.95209	0.13615	0.85856	0.5621	0.9627	0.39058	0.80527
UBL3	4	0.15597	0.53885	0.39146	0.9255	0.58999	0.953	0.44345	1.5362	0.044451	0.44522	0.1245	0.75718
RAB39A	4	-0.026208	-0.22618	0.89176	0.99291	0.82106	0.97863	0.18134	1.5657	0.43009	0.93626	0.11742	0.75718
FHL5	4	0.11911	0.54521	0.51477	0.95138	0.58561	0.953	0.19562	0.89562	0.39116	0.92581	0.37046	0.79752
C7orf76	4	0.043754	0.25779	0.81414	0.99079	0.79657	0.97346	-0.13275	-0.77984	0.5363	0.96014	0.43548	0.81731
CXorf56	4	-0.3911	-2.0354	0.095615	0.63654	0.04181	0.95209	0.11092	0.57909	0.64409	0.97782	0.56253	0.85553
PREPL	4	0.31778	1.8884	0.076472	0.57885	0.058976	0.95209	0.031562	0.18748	0.92408	0.9983	0.85129	0.95538
SLCO1B3	4	0.16805	1.2636	0.3564	0.91513	0.20638	0.95209	-0.01096	-0.082055	0.92403	0.9983	0.9346	0.98001
C12orf76	4	0.20018	0.85692	0.26875	0.86645	0.39149	0.95209	0.027238	0.11645	0.93844	0.99831	0.9073	0.97427
PDCD1	4	0.18193	0.73143	0.31568	0.89059	0.46451	0.95209	-0.082829	-0.33067	0.68228	0.98146	0.74089	0.91922
CAMK4	4	-0.144	-1.4787	0.47534	0.94672	0.13923	0.95209	0.1461	1.5056	0.53247	0.96014	0.13216	0.75718
SPINK9	4	0.28024	0.96337	0.11764	0.69283	0.33536	0.95209	0.38427	1.3213	0.080897	0.58673	0.18642	0.75718
PDCD2L	4	0.15295	1.0156	0.4012	0.92728	0.30981	0.95209	-0.097237	-0.64427	0.63838	0.9765	0.5194	0.84004
CXCL6	4	0.11618	0.48596	0.52526	0.95434	0.62699	0.95414	0.089868	0.37558	0.71848	0.98372	0.70723	0.90782
BTLA	4	0.16616	1.0804	0.36162	0.91585	0.27995	0.95209	0.1445	0.93953	0.53724	0.96014	0.34746	0.7958
ZBTB22	4	0.22589	0.82789	0.21127	0.82161	0.40773	0.95209	0.29465	1.0801	0.18367	0.77822	0.2801	0.76981
FBXO24	4	-0.12137	-0.53387	0.54505	0.95755	0.59343	0.953	0.070205	0.3092	0.78625	0.98912	0.75717	0.92368
ATG12	4	-0.077964	-0.29197	0.69367	0.97883	0.77031	0.97013	0.11239	0.42153	0.63937	0.97698	0.67337	0.89308
UST	4	0.19889	0.70981	0.27183	0.86742	0.47782	0.95209	0.4513	1.616	0.040772	0.42334	0.10608	0.75718
ENTHD2	4	0.35779	1.0297	0.046838	0.45662	0.30317	0.95209	0.081979	0.23433	0.74478	0.98514	0.81473	0.94285
UTP14C	4	0.038678	0.2646	0.83652	0.99121	0.79131	0.9728	0.01117	0.076304	0.99811	0.9999	0.93918	0.98197
ALDOB	4	0.29645	1.3486	0.097106	0.64201	0.17746	0.95209	0.27384	1.2454	0.21783	0.82319	0.21297	0.76098
KCNJ1	4	0.10633	0.28319	0.56255	0.96113	0.77703	0.9719	0.49228	1.3179	0.025756	0.33441	0.18753	0.75718
CST9L	4	0.18341	0.96572	0.31175	0.88774	0.33418	0.95209	0.2386	1.2564	0.28848	0.87739	0.20898	0.76098
GSTO2	4	0.13628	0.89226	0.45739	0.94406	0.37225	0.95209	0.08196	0.53653	0.74483	0.98514	0.59159	0.86478
C3orf80	4	-0.15731	-0.77641	0.43854	0.93594	0.43751	0.95209	-0.1817	-0.89667	0.41816	0.93422	0.36989	0.79752
RIT1	4	-0.23888	-0.67966	0.26263	0.86491	0.49672	0.95281	-0.32613	-0.92228	0.18059	0.77491	0.35638	0.79649
SERP1	4	-0.059919	-0.69898	0.76124	0.98621	0.48457	0.95239	-0.01208	-0.14091	0.92084	0.9983	0.88794	0.9681
RNASE7	4	-0.067117	-0.523	0.73399	0.98289	0.60097	0.953	0.013393	0.10439	0.9903	0.9999	0.91686	0.97617
ARL13B	4	0.12985	0.74062	0.47827	0.94713	0.45892	0.95209	0.18313	1.0446	0.42487	0.93471	0.29622	0.77224
CHST15	4	0.48254	1.6157	0.0083532	0.15301	0.10617	0.95209	0.13433	0.44819	0.56822	0.96432	0.65402	0.88666
PIH1D2	4	0.0433	0.15573	0.81653	0.99079	0.87625	0.98277	0.2591	0.93301	0.24548	0.84784	0.35082	0.79589
ATXN10	4	-1.0442	-1.7773	0.00079554	0.025932	0.075516	0.95209	-0.81009	-1.3958	0.0080052	0.15893	0.16276	0.75718
PCDH17	4	0.023778	0.20784	0.89777	0.99291	0.83535	0.97963	0.096941	0.8474	0.69337	0.98292	0.39677	0.80781
PPAPDC1B	4	0.15633	0.79076	0.39041	0.9255	0.42908	0.95209	0.29468	1.4907	0.18367	0.77822	0.13605	0.75718
KMT2C	4	0.28791	1.5605	0.10695	0.66307	0.11865	0.95209	0.26448	1.4334	0.23583	0.8403	0.15173	0.75718
OXT	4	-0.040174	-0.53884	0.83706	0.99121	0.59	0.953	-0.089832	-1.2049	0.66095	0.98003	0.22825	0.76342
QSER1	4	0.17234	1.3798	0.34437	0.91216	0.16765	0.95209	0.22098	1.7692	0.32712	0.90175	0.076853	0.75718
TBC1D21	4	0.21698	0.96332	0.23031	0.8381	0.33539	0.95209	0.29894	1.3275	0.17646	0.76768	0.18434	0.75718
ZNF134	4	0.036337	0.32789	0.84556	0.99121	0.74299	0.96644	0.065596	0.59191	0.8036	0.99118	0.55391	0.85264
CXCL1	4	0.03102	0.16765	0.86769	0.99121	0.86686	0.98277	0.11276	0.60964	0.63838	0.9765	0.5421	0.84776
OTUD7B	4	0.11294	0.43027	0.53814	0.95726	0.667	0.9597	0.24142	0.92062	0.28217	0.87387	0.35725	0.79707
DEPDC1	4	-0.054999	-0.3132	0.77978	0.98874	0.75413	0.96713	-0.20332	-1.1574	0.37241	0.91949	0.24713	0.76583
FAM92B	4	-0.10084	-0.62482	0.60854	0.96614	0.53209	0.953	0.06116	0.37982	0.81921	0.99243	0.70408	0.90579
IGF2BP2	4	-0.076659	-0.62909	0.69923	0.979	0.52929	0.953	0.026688	0.21902	0.94058	0.99879	0.82663	0.94601
HSD3B1	4	-0.12953	-0.62071	0.51904	0.95342	0.53479	0.953	0.062249	0.29845	0.81523	0.99184	0.76536	0.92711
CTAGE4	4	0.080444	0.73707	0.66662	0.97443	0.46108	0.95209	0.11057	1.0129	0.64529	0.9781	0.31109	0.77867
CASR	4	0.31421	1.8483	0.080002	0.59061	0.064565	0.95209	-0.15831	-0.92835	0.47186	0.94736	0.35323	0.79635
OR10H2	4	0.032826	0.16791	0.86003	0.99121	0.86666	0.98277	0.17029	0.87135	0.46077	0.94484	0.38356	0.80215
FAM46C	4	0.029668	0.16916	0.87341	0.99121	0.86567	0.98277	0.086425	0.49279	0.72942	0.98372	0.62216	0.87515
CRYBG3	4	0.15585	1.1749	0.39186	0.9255	0.24005	0.95209	-0.15465	-1.1657	0.47942	0.94736	0.24376	0.76466
EIF3J	4	0.13956	0.51096	0.44446	0.93594	0.60938	0.953	0.29606	1.0866	0.18153	0.77631	0.2772	0.76981
KLC3	4	0.28472	0.87274	0.11078	0.6723	0.3828	0.95209	0.23464	0.71874	0.29753	0.88415	0.4723	0.82551
C17orf53	4	0.27777	1.1153	0.12102	0.69943	0.26474	0.95209	0.17804	0.71463	0.43904	0.93956	0.47484	0.82563
MAPRE3	4	0.22613	0.9495	0.21072	0.82084	0.34237	0.95209	0.026705	0.11175	0.94048	0.99879	0.91102	0.97457
NLRP10	4	0.2256	1.1566	0.21181	0.82234	0.24745	0.95209	0.19827	1.0165	0.3839	0.92301	0.30941	0.77748
TBPL1	4	-0.069483	-0.30889	0.72589	0.98197	0.75741	0.96762	0.17539	0.78051	0.446	0.94243	0.43509	0.81731
BARD1	4	-0.5953	-1.6747	0.021629	0.29392	0.094001	0.95209	-0.88162	-2.4579	0.0047733	0.10984	0.013975	0.56668
FTCD	4	0.092877	0.53941	0.61391	0.96782	0.5896	0.953	-0.018325	-0.10628	0.89941	0.99757	0.91536	0.9755
UBQLN4	4	-0.21848	-0.74311	0.29982	0.88059	0.45742	0.95209	-0.4724	-1.5935	0.072096	0.55662	0.11105	0.75718
CDY1B	4	0.2521	1.1826	0.16393	0.77935	0.23696	0.95209	0.21251	0.9959	0.34656	0.90939	0.3193	0.78174
YAP1	4	0.34977	0.74996	0.051512	0.47985	0.45328	0.95209	0.62906	1.3566	0.0051213	0.11508	0.1749	0.75718
ANKRD13C	4	0.081731	0.47137	0.6603	0.97443	0.63738	0.9548	0.093725	0.54046	0.70505	0.98372	0.58888	0.86371
HFE2	4	-0.085939	-0.36285	0.66348	0.97443	0.71672	0.96291	-0.2603	-1.0961	0.27073	0.87127	0.27304	0.76846
GBP3	4	0.21313	1.6069	0.23901	0.84586	0.10808	0.95209	0.13752	1.0366	0.55743	0.96257	0.2999	0.77467
SERPINI1	4	-0.090922	-0.3529	0.64459	0.9713	0.72417	0.96536	-0.57035	-2.2094	0.038385	0.41195	0.027146	0.70807
DEFB103A	4	0.030532	0.22489	0.87018	0.99121	0.82207	0.97863	0.032542	0.23968	0.92109	0.9983	0.81058	0.94148
PRSS23	4	-0.1566	-0.42673	0.44088	0.93594	0.66958	0.9601	0.41482	1.1395	0.059169	0.51073	0.25451	0.76602
SP2	4	-0.37371	-1.5491	0.1077	0.6634	0.12135	0.95209	-0.30521	-1.2653	0.20575	0.80611	0.20576	0.76078
MYLK3	4	0.029277	0.19468	0.87495	0.99121	0.84565	0.98065	0.012377	0.082268	0.99428	0.9999	0.93443	0.97989
controlguide284	1	-0.075522	-0.26696	0.83458	0.99121	0.7895	0.9728	0.24398	0.86243	0.55375	0.9621	0.38845	0.80482
ZNF597	4	-0.17333	-0.90507	0.39827	0.92569	0.36543	0.95209	-0.34381	-1.7869	0.16254	0.75	0.073952	0.75718
HMOX1	4	-0.040601	-0.53635	0.83507	0.99121	0.59172	0.953	0.019659	0.25971	0.96654	0.99892	0.79508	0.9363
FAM150B	4	0.17019	0.88067	0.35034	0.91378	0.3785	0.95209	0.215	1.1126	0.34044	0.90701	0.2659	0.76828
SLC4A8	4	0.13958	1.0037	0.44441	0.93594	0.31551	0.95209	0.14006	1.0067	0.54888	0.96082	0.31409	0.78062
controlguide642	1	0.28033	0.40347	0.41498	0.9299	0.68661	0.96072	0.48426	0.69699	0.23379	0.8393	0.48581	0.82895
TOP1MT	4	-0.086814	-0.17058	0.66015	0.97443	0.86455	0.98277	-0.0034213	-0.0067257	0.94973	0.99892	0.99463	0.99841
TIMMDC1	4	-0.90967	-3.0146	0.0019889	0.052562	0.0025729	0.31014	-0.11064	-0.36891	0.59949	0.97094	0.7122	0.90985
GIPC1	4	-0.045712	-0.13843	0.81424	0.99079	0.8899	0.9851	0.38444	1.1686	0.080698	0.58673	0.24255	0.76466
KRTAP11-1	4	0.24409	0.90778	0.1781	0.79367	0.36399	0.95209	0.22	0.81679	0.3295	0.90409	0.41405	0.81156
OTULIN	4	0.072563	0.1675	0.69874	0.97883	0.86698	0.98277	0.45955	1.062	0.037192	0.40389	0.28822	0.7715
POU3F4	4	0.074113	0.5299	0.69232	0.97883	0.59618	0.953	0.066531	0.47568	0.79952	0.99082	0.6343	0.87859
CREBZF	4	-0.052649	-0.24065	0.78794	0.99025	0.80983	0.97566	-0.0062957	-0.028776	0.93934	0.99847	0.97704	0.99456
controlguide200	1	0.13169	0.55826	0.72255	0.98178	0.57667	0.953	-0.21348	-0.905	0.65319	0.97922	0.36547	0.79752
TSC22D1	4	0.36464	0.91699	0.043556	0.44198	0.35915	0.95209	0.65627	1.6523	0.0041269	0.10024	0.098464	0.75718
OR6C65	4	0.36769	1.5065	0.042214	0.43718	0.13193	0.95209	0.31883	1.3062	0.14882	0.73176	0.19148	0.75718
EPHA6	4	0.23631	1.2008	0.19143	0.80415	0.22981	0.95209	0.26255	1.3339	0.23981	0.8452	0.18222	0.75718
PTAFR	4	0.16846	0.63612	0.35536	0.91513	0.5247	0.953	0.33988	1.2835	0.1242	0.69324	0.19933	0.75718
OR52A5	4	0.28754	0.72161	0.1073	0.6634	0.47054	0.95209	0.62172	1.5632	0.0055688	0.12121	0.118	0.75718
FAM161A	4	0.099931	0.80752	0.58736	0.96518	0.41937	0.95209	-0.081867	-0.6612	0.68526	0.98159	0.50848	0.83775
AHSA2	4	0.10283	0.61144	0.57568	0.96387	0.54091	0.953	0.16712	0.9939	0.46952	0.94688	0.32027	0.78199
SBK3	4	0.021837	0.26053	0.90692	0.99363	0.79446	0.97321	-0.031686	-0.37781	0.85223	0.99571	0.70557	0.90657
LYZL1	4	0.14897	0.88976	0.41329	0.9299	0.3736	0.95209	-0.042633	-0.25395	0.81648	0.99191	0.79953	0.93739
NR2F1	4	-0.20409	-0.98471	0.32707	0.90037	0.32477	0.95209	0.27352	1.3227	0.21848	0.82362	0.18595	0.75718
OSR2	4	-0.056713	-0.41634	0.77282	0.98717	0.67716	0.96049	-0.2093	-1.5315	0.36108	0.91449	0.12566	0.75718
ZNF878	4	0.11676	0.54575	0.52297	0.95384	0.58524	0.953	0.11885	0.55533	0.61779	0.97254	0.57867	0.86094
ASPRV1	4	0.23997	1.9899	0.18457	0.79802	0.046602	0.95209	0.1073	0.88905	0.65647	0.97931	0.37398	0.79752
TIGD2	4	-0.096234	-0.63644	0.62485	0.96918	0.52449	0.953	-0.10538	-0.69666	0.61416	0.97254	0.48602	0.82895
DUSP23	4	0.024986	0.10321	0.8928	0.99291	0.9178	0.99067	-0.088916	-0.36637	0.66343	0.98028	0.71409	0.91024
KRTAP2-3	4	-0.16907	-0.82314	0.40891	0.92927	0.41043	0.95209	-0.11911	-0.57989	0.57369	0.96552	0.56199	0.85548
SPRR2F	4	-0.10387	-0.56002	0.59994	0.966	0.57546	0.953	0.16553	0.89577	0.47474	0.94736	0.37038	0.79752
ZZEF1	4	0.034421	0.23154	0.85322	0.99121	0.81689	0.97836	-0.2164	-1.4553	0.34706	0.90945	0.14558	0.75718
TEX9	4	0.064937	0.42407	0.72817	0.9823	0.67151	0.96038	0.28987	1.8932	0.19103	0.79095	0.058335	0.75718
WDR60	4	0.026311	0.10059	0.88683	0.99233	0.91988	0.99133	-0.12936	-0.49174	0.5453	0.96061	0.6229	0.87519
RGS9BP	4	-0.11948	-0.67224	0.55146	0.95932	0.50143	0.95281	0.04605	0.25953	0.8756	0.99571	0.79522	0.9363
SCMH1	4	0.029383	0.1712	0.87455	0.99121	0.86407	0.98277	0.086461	0.50377	0.72937	0.98372	0.61443	0.87251
CCDC38	4	0.21878	0.97463	0.22628	0.83689	0.32974	0.95209	0.36815	1.6402	0.095863	0.63482	0.10096	0.75718
PDGFC	4	0.13871	0.93481	0.44774	0.93816	0.34989	0.95209	0.23457	1.5817	0.29763	0.88415	0.11372	0.75718
LOC101929983	4	0.0030415	0.010098	0.98752	0.99824	0.99194	0.9994	0.22404	0.74677	0.31976	0.89997	0.4552	0.82137
FKBPL	4	-0.72954	-1.7088	0.007856	0.1467	0.087487	0.95209	-0.52667	-1.2407	0.051462	0.47983	0.21473	0.76098
KDM4C	4	0.042728	0.22121	0.81876	0.99079	0.82493	0.9789	0.29706	1.5383	0.17954	0.77257	0.12397	0.75718
ZC3HAV1	4	0.0097456	0.064897	0.95729	0.99772	0.94826	0.99453	0.19475	1.2978	0.3937	0.9262	0.19437	0.75718
CXorf21	4	-0.25795	-1.0688	0.23334	0.84212	0.28515	0.95209	-0.29406	-1.2179	0.22022	0.82537	0.22326	0.76255
